re	im
-3.0009	-200
-3.0012	-173.21
-3.0016	-149.99
-3.0021	-129.89
-3.0028	-112.48
-3.0038	-97.4
-3.0051	-84.345
-3.0067	-73.039
-3.009	-63.249
-3.012	-54.771
-3.016	-47.429
-3.0213	-41.071
-3.0284	-35.564
-3.0378	-30.795
-3.0503	-26.664
-3.0669	-23.085
-3.089	-19.983
-3.089	-19.982
-3.1182	-17.292
-3.1566	-14.955
-3.207	-12.92
-3.2724	-11.14
-3.3558	-9.5725
-3.3745	-9.2859
-3.466	-8.094
-3.5545	-7.1509
-3.6358	-6.3704
-3.7063	-5.7003
-3.75	-5.25
-3.7626	-5.1078
-3.8018	-4.5719
-3.8215	-4.0789
-3.82	-3.6201
-3.7959	-3.1901
-3.7486	-2.7858
-3.6778	-2.4055
-3.5838	-2.0488
-3.4675	-1.7158
-3.3302	-1.4072
-3.1736	-1.1236
-3	-0.86603
-2.8118	-0.63515
-2.6117	-0.43155
-2.4028	-0.25551
-2.1883	-0.10696
-1.9713	0.014536
-1.7551	0.10985
-1.5428	0.18028
-1.3376	0.22757
-1.142	0.25386
-0.95871	0.26171
-0.78978	0.25399
-0.75	0.25
-0.6369	0.23389
-0.50129	0.20477
-0.38362	0.17007
-0.28401	0.1332
-0.202	0.097324
-0.18259	0.088094
-0.14748	0.070728
-0.10256	0.047446
-0.072429	0.031502
-0.051815	0.020776
-0.03746	0.013641
-0.02731	0.0089284
-0.020043	0.0058314
-0.014786	0.0038027
-0.01095	0.0024771
-0.0081347	0.0016122
-0.006057	0.0010487
-0.0045178	0.00068189
-0.0033742	0.00044323
-0.0033741	0.0004432
-0.0025227	0.00028802
-0.0018874	0.00018714
-0.0014129	0.00012157
-0.0010582	7.8968e-05
-0.00079277	5.1292e-05
-0.00059406	3.3313e-05
-0.00044524	2.1636e-05
-0.00033375	1.4051e-05
-0.0002502	9.1251e-06
-0.00018758	5.926e-06
-0.00014064	3.8483e-06
-0.00010545	2.4991e-06
-7.9069e-05	1.6229e-06
-5.9289e-05	1.0539e-06
-4.4458e-05	6.8439e-07
-3.3337e-05	4.4443e-07
-3.3333e-07	4.4444e-10
-3.3333e-09	4.4444e-13
-3.3333e-11	4.4444e-16
-3.3333e-13	4.4444e-19
-3.3333e-15	4.4444e-22
-3.3333e-17	4.4444e-25
-3.3333e-19	4.4444e-28
-3.3333e-21	4.4444e-31
-3.3333e-23	4.4444e-34
-3.3333e-25	4.4434e-37
-3.3333e-27	4.4368e-40
-3.3333e-29	4.4001e-43
-3.3333e-31	2.5524e-46
-3.3333e-33	-4.0822e-49
-3.3333e-35	-4.0822e-51
-3.3333e-37	-4.0822e-53
-3.3333e-39	-4.0822e-55
-3.3333e-41	-4.0822e-57
